"id","inquiry_id","client_id","agent_id","rating_date","overall_rating","resolution_speed_rating","politeness_rating","knowledge_rating","feedback","would_recommend","regulation_followed","title","department","sla_target","created_date","last_updated","is_active","inquiry_date","issue","status"
"301","47","1000","9","2025-02-15 00:00:00","2","2","3","2","Разочарован сервисом","0","1","Обработка входящих звонков","Отдел продаж","91","2024-02-28 00:00:00","2025-02-13 00:00:00","0","2025-02-09 00:00:00","Возврат товара","new"
"302","17","1001","2","2025-01-27 00:00:00","4","5","4","3","Все объяснили понятно и доступно","1","1","Эскалация проблем","Отдел продаж","95","2023-09-26 00:00:00","2025-02-12 00:00:00","1","2025-02-08 00:00:00","Вопрос по акции","closed"
"303","78","1002","9","2024-10-29 00:00:00","4","3","3","5","Отличный сервис, быстрое решение проблемы","1","1","Техническая поддержка первого уровня","Отдел маркетинга","91","2024-07-28 00:00:00","2025-03-06 00:00:00","1","2025-03-01 00:00:00","Вопрос по гарантии","pending"
"304","61","1003","4","2024-12-25 00:00:00","4","5","3","4","Всегда приятно иметь дело с профессионалами","1","1","Регламент доступа к системе - Специальный","Техническая поддержка","95","2024-03-09 00:00:00","2024-12-11 00:00:00","0","2025-03-02 00:00:00","Проблема с аккаунтом","in_progress"
"305","21","1004","7","2024-09-23 00:00:00","5","5","5","5","Вежливый и компетентный специалист","1","0","Обслуживание VIP-клиентов - Временный","Отдел качества","92","2024-07-16 00:00:00","2024-12-13 00:00:00","1","2025-02-08 00:00:00","Консультация по продукту","new"
"306","91","1005","9","2024-10-09 00:00:00","3","3","3","4","В целом неплохо, но можно лучше","0","1","Процедура обучения новых сотрудников","Отдел разработки","97","2024-01-16 00:00:00","2025-02-24 00:00:00","1","2025-03-04 00:00:00","Ошибка в заказе","resolved"
"307","54","1006","10","2024-10-20 00:00:00","5","5","5","5","Отличный сервис, быстрое решение проблемы","1","1","Регламент доступа к системе","Отдел продаж","91","2024-07-04 00:00:00","2024-11-22 00:00:00","0","2025-03-02 00:00:00","Возврат товара","closed"
"308","93","1007","1","2025-01-08 00:00:00","4","5","5","5","Отличная работа, спасибо!","1","0","Техническая поддержка второго уровня","Отдел продаж","96","2024-01-07 00:00:00","2024-12-13 00:00:00","1","2025-02-12 00:00:00","Вопрос по акции","new"
"309","19","1008","4","2024-11-15 00:00:00","4","3","3","4","Очень доволен качеством обслуживания","1","1","Регламент документирования - Специальный","Техническая поддержка","94","2024-08-24 00:00:00","2024-09-19 00:00:00","0","2025-02-11 00:00:00","Проблема с оплатой","pending"
"310","54","1009","3","2024-10-22 00:00:00","5","5","5","5","Быстро и качественно","1","1","Процедура обновления системы","Отдел безопасности","95","2024-07-21 00:00:00","2024-11-10 00:00:00","1","2025-02-25 00:00:00","Вопрос по гарантии","resolved"
"311","91","1010","9","2024-10-06 00:00:00","4","4","5","4","Отличная работа, спасибо!","1","0","Работа с критическими инцидентами","Техническая поддержка","97","2024-03-12 00:00:00","2024-10-10 00:00:00","1","2025-02-23 00:00:00","Вопрос по акции","new"
"312","41","1011","3","2024-11-08 00:00:00","5","5","5","5","Все объяснили понятно и доступно","1","1","Процедура обновления системы","Отдел качества","93","2024-03-13 00:00:00","2025-01-20 00:00:00","1","2025-02-21 00:00:00","Вопрос по доставке","resolved"
"313","79","1012","8","2024-11-25 00:00:00","5","5","5","4","Вежливый и компетентный специалист","1","1","Процедура возврата средств - Временный","Отдел продаж","91","2023-11-19 00:00:00","2024-11-03 00:00:00","0","2025-02-09 00:00:00","Проблема с оплатой","closed"
"314","99","1013","5","2024-12-25 00:00:00","5","5","5","5","Превзошли мои ожидания","1","1","Процедура аудита","Административный отдел","94","2024-04-27 00:00:00","2024-12-10 00:00:00","1","2025-02-18 00:00:00","Технический сбой","resolved"
"315","37","1014","2","2024-12-13 00:00:00","5","5","5","4","Быстро и качественно","1","1","Регламент документирования","Отдел продаж","93","2024-07-21 00:00:00","2025-01-28 00:00:00","1","2025-02-08 00:00:00","Проблема с оплатой","pending"
"316","6","1015","5","2025-01-28 00:00:00","4","5","4","5","Превзошли мои ожидания","1","0","Процедура отчетности - Базовый","Отдел по работе с клиентами","96","2023-10-01 00:00:00","2024-09-16 00:00:00","1","2025-02-10 00:00:00","Вопрос по доставке","resolved"
"317","28","1016","9","2024-12-22 00:00:00","5","5","5","5","Вежливый и компетентный специалист","1","1","Процедура обучения новых сотрудников - Расширенный","Отдел продаж","96","2024-08-16 00:00:00","2025-03-04 00:00:00","0","2025-02-17 00:00:00","Жалоба на качество","in_progress"
"318","14","1017","10","2025-03-11 00:00:00","3","4","4","2","В целом неплохо, но можно лучше","0","1","Регламент документирования","Отдел продаж","91","2024-04-03 00:00:00","2024-11-17 00:00:00","1","2025-02-28 00:00:00","Возврат товара","in_progress"
"319","7","1018","2","2024-11-27 00:00:00","4","3","5","3","Превзошли мои ожидания","1","1","Процедура восстановления данных - Временный","Отдел тестирования","91","2024-08-03 00:00:00","2024-12-07 00:00:00","1","2025-02-24 00:00:00","Консультация по продукту","in_progress"
"320","71","1019","3","2025-01-16 00:00:00","5","5","5","4","Превзошли мои ожидания","1","1","Регламент безопасности - Базовый","Финансовый отдел","93","2023-10-03 00:00:00","2024-12-01 00:00:00","1","2025-02-21 00:00:00","Вопрос по гарантии","in_progress"
"321","42","1020","5","2024-10-24 00:00:00","5","5","5","4","Очень доволен качеством обслуживания","1","1","Обслуживание VIP-клиентов","Отдел безопасности","98","2023-12-27 00:00:00","2024-11-05 00:00:00","1","2025-03-05 00:00:00","Проблема с аккаунтом","closed"
"322","23","1021","7","2024-10-14 00:00:00","5","5","5","4","Отличный сервис, быстрое решение проблемы","1","1","Обслуживание VIP-клиентов","Отдел качества","94","2024-06-10 00:00:00","2024-11-10 00:00:00","1","2025-03-03 00:00:00","Проблема с аккаунтом","closed"
"323","5","1022","1","2024-12-12 00:00:00","4","4","4","4","Очень доволен качеством обслуживания","1","0","Работа с критическими инцидентами","Отдел тестирования","90","2024-07-05 00:00:00","2024-11-28 00:00:00","1","2025-02-20 00:00:00","Вопрос по акции","closed"
